Date,ID,n_adults,n_children,weekend_nights,week_nights,meal_plan,car_parking_space,room_type,lead_time,market_segment,repeated_guest,previous_cancellations,previous_bookings_Not Cancelled,avg_room_price,special_requests,status
2018-08-04,INN00096,2,1,0,2,Meal Plan 1,1,Room_Type 1,134,Online,0,0,0,130.5,2,Not Cancelled
2018-08-18,INN00097,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Online,0,0,0,115,1,Cancelled
2018-04-13,INN00098,2,0,0,4,Meal Plan 1,0,Room_Type 1,118,Online,0,0,0,90.95,1,Not Cancelled
2018-11-17,INN00099,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,Not Cancelled
2018-12-22,INN00100,2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,Not Cancelled
2018-10-23,INN00101,2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,Not Cancelled
2018-05-13,INN00102,3,0,1,2,Meal Plan 1,0,Room_Type 4,55,Online,0,0,0,159.3,2,Not Cancelled
2018-12-13,INN00103,1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,Not Cancelled
2017-10-31,INN00104,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,Online,0,0,0,95,1,Not Cancelled
2017-10-08,INN00105,2,0,0,3,Meal Plan 1,0,Room_Type 1,24,Online,0,0,0,107,1,Not Cancelled
2018-02-16,INN00106,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Offline,0,0,0,64,0,Not Cancelled
2017-11-02,INN00107,2,0,1,4,Meal Plan 1,1,Room_Type 1,10,Online,0,0,0,82.95,0,Not Cancelled
2017-09-21,INN00108,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,Online,0,0,0,155,1,Not Cancelled
2018-06-30,INN00109,2,0,0,1,Not Selected,0,Room_Type 1,12,Online,0,0,0,101.68,1,Not Cancelled
2017-09-05,INN00110,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,Online,0,0,0,94.5,3,Not Cancelled
2018-09-30,INN00111,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,Cancelled
2018-06-27,INN00112,2,0,1,0,Not Selected,0,Room_Type 1,1,Online,0,0,0,127,1,Not Cancelled
2018-06-16,INN00113,2,0,0,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,116.1,2,Not Cancelled
2018-06-30,INN00114,2,0,2,3,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,117.9,1,Not Cancelled
2018-06-26,INN00115,2,2,2,2,Meal Plan 1,0,Room_Type 2,116,Online,0,0,0,184.24,1,Cancelled
2018-08-13,INN00116,3,0,2,2,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,155.7,1,Not Cancelled
2018-04-22,INN00117,3,0,2,5,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,135.76,0,Cancelled
2018-11-12,INN00118,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,102.83,3,Not Cancelled
2018-04-29,INN00119,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Online,0,0,0,65,0,Cancelled
2017-11-14,INN00120,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,103,1,Not Cancelled
2018-09-01,INN00121,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,106.2,1,Cancelled
2018-09-16,INN00122,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Offline,0,0,0,58.5,0,Not Cancelled
2018-03-10,INN00123,2,0,1,3,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,73.95,0,Cancelled
2018-05-05,INN00124,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,Online,0,0,0,105.3,0,Not Cancelled
2018-04-24,INN00125,3,0,2,0,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,133.2,2,Not Cancelled
2018-03-30,INN00126,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,85.5,0,Not Cancelled
2018-11-03,INN00127,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,112,1,Cancelled
2018-10-14,INN00128,2,2,0,2,Meal Plan 1,0,Room_Type 6,110,Online,0,0,0,190.8,0,Cancelled
2018-06-05,INN00129,1,0,2,3,Meal Plan 1,0,Room_Type 1,117,Offline,0,0,0,110,0,Not Cancelled
2018-07-13,INN00130,2,0,1,4,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,91.48,1,Not Cancelled
2018-10-20,INN00131,2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,135,2,Not Cancelled
2018-10-17,INN00132,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,129,2,Not Cancelled
2018-12-28,INN00133,2,0,2,4,Not Selected,0,Room_Type 1,289,Online,0,0,0,70.55,2,Cancelled
2017-10-19,INN00134,2,0,1,4,Meal Plan 1,0,Room_Type 4,28,Offline,0,0,0,75,0,Not Cancelled
2018-03-29,INN00135,1,0,0,4,Not Selected,0,Room_Type 1,80,Online,0,0,0,72.25,0,Not Cancelled
2017-10-09,INN00136,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,155,2,Not Cancelled
2018-07-25,INN00137,2,1,1,0,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,121.5,2,Cancelled
2018-06-28,INN00138,2,0,2,5,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,90.95,2,Not Cancelled
2018-05-22,INN00139,1,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,109.65,0,Not Cancelled
2018-04-15,INN00140,3,0,2,4,Meal Plan 1,0,Room_Type 4,27,Online,0,0,0,142.72,0,Cancelled
2018-05-09,INN00141,1,0,1,2,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,90,0,Not Cancelled
2018-06-17,INN00142,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,75,0,Cancelled
2018-11-18,INN00143,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,111,1,Cancelled
2018-10-30,INN00144,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,86.7,2,Not Cancelled
2018-03-28,INN00145,2,0,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,117.9,1,Not Cancelled
2018-06-01,INN00146,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Complementary,1,3,5,0,1,Not Cancelled
2018-05-04,INN00147,2,0,0,4,Not Selected,0,Room_Type 1,112,Online,0,0,0,101.58,1,Not Cancelled
2018-04-08,INN00148,2,0,1,2,Not Selected,0,Room_Type 1,88,Online,0,0,0,58.9,1,Not Cancelled
2018-06-08,INN00149,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120,0,Not Cancelled
2018-04-07,INN00150,2,0,2,3,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,107.1,0,Cancelled
2018-05-02,INN00151,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,126.9,1,Not Cancelled
2018-09-29,INN00152,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,Cancelled
2018-04-04,INN00153,2,0,1,3,Not Selected,0,Room_Type 1,69,Online,0,0,0,80.75,1,Not Cancelled
2017-07-17,INN00154,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,Online,0,0,0,109,0,Cancelled
2018-04-06,INN00155,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104,0,Not Cancelled
2018-11-01,INN00156,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,5,65,1,Not Cancelled
2018-05-24,INN00157,2,0,0,3,Meal Plan 1,0,Room_Type 4,97,Online,0,0,0,140.4,0,Not Cancelled
2018-02-17,INN00158,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75,0,Not Cancelled
2018-04-14,INN00159,2,0,0,1,Not Selected,0,Room_Type 1,31,Online,0,0,0,94.5,0,Cancelled
2018-06-05,INN00160,2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,109,0,Not Cancelled
2018-11-12,INN00161,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,105,2,Not Cancelled
2018-04-17,INN00162,2,0,2,2,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,107.95,1,Not Cancelled
2018-10-07,INN00163,3,0,2,2,Meal Plan 1,0,Room_Type 7,3,Online,0,0,0,215.6,1,Not Cancelled
2018-08-01,INN00164,2,0,1,1,Not Selected,0,Room_Type 1,197,Online,0,0,0,85.5,1,Not Cancelled
2018-07-12,INN00165,2,0,0,2,Meal Plan 1,0,Room_Type 1,143,Online,0,0,0,105.3,2,Not Cancelled
2018-01-02,INN00166,1,0,2,1,Meal Plan 2,0,Room_Type 1,23,Online,0,0,0,1,0,Not Cancelled
2018-06-15,INN00167,2,0,0,2,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,156,0,Cancelled
2018-11-16,INN00168,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,73.15,1,Not Cancelled
2018-09-19,INN00169,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Online,0,0,0,110,0,Cancelled
2017-09-13,INN00170,2,1,1,0,Not Selected,0,Room_Type 1,11,Online,0,0,0,87.4,1,Not Cancelled
2018-09-15,INN00171,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,120,0,Cancelled
2018-12-16,INN00172,2,0,1,2,Not Selected,0,Room_Type 1,185,Online,0,0,0,79.2,0,Cancelled
2018-06-30,INN00173,2,0,1,3,Meal Plan 1,0,Room_Type 1,160,Online,0,0,0,90.95,1,Not Cancelled
2018-10-18,INN00174,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,91.48,1,Not Cancelled
2018-11-05,INN00175,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150,1,Cancelled
2018-03-22,INN00176,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,89,0,Not Cancelled
2018-08-17,INN00177,2,0,1,4,Not Selected,0,Room_Type 1,14,Online,0,0,0,91.43,1,Not Cancelled
2018-05-20,INN00178,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,0,0,0,140,0,Not Cancelled
2017-10-24,INN00179,1,1,2,5,Not Selected,0,Room_Type 1,37,Online,0,0,0,87.78,0,Not Cancelled
2018-07-21,INN00180,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,Online,0,0,0,115,0,Cancelled
2017-09-09,INN00181,2,0,0,3,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,80.85,1,Not Cancelled
2018-03-31,INN00182,2,0,1,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,82.45,1,Not Cancelled
2018-10-11,INN00183,2,0,0,1,Not Selected,0,Room_Type 1,109,Online,0,0,0,108,0,Cancelled
2018-04-02,INN00184,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,Online,0,0,0,96.3,1,Not Cancelled
2018-08-22,INN00185,2,0,1,5,Meal Plan 1,0,Room_Type 1,196,Online,0,0,0,99.45,0,Cancelled
2018-05-13,INN00186,2,0,0,2,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,140.4,1,Not Cancelled
2018-08-08,INN00187,2,0,1,3,Meal Plan 1,0,Room_Type 1,189,Offline,0,0,0,72.25,0,Not Cancelled
2018-08-15,INN00188,2,0,1,4,Meal Plan 1,0,Room_Type 4,126,Online,0,0,0,126,0,Not Cancelled
2018-08-19,INN00189,2,0,2,3,Meal Plan 1,0,Room_Type 1,303,Online,0,0,0,78,0,Cancelled
2018-11-06,INN00190,1,0,2,2,Meal Plan 1,0,Room_Type 4,81,Online,0,0,0,146.6,1,Not Cancelled
2018-10-10,INN00191,2,0,1,2,Meal Plan 1,0,Room_Type 1,54,Online,0,0,0,118.8,0,Cancelled
2018-10-06,INN00192,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,145,0,Cancelled
2018-04-06,INN00193,2,0,0,4,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,84.58,0,Cancelled
2018-03-25,INN00194,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Online,0,0,0,130,0,Cancelled
2018-08-03,INN00195,2,0,4,10,Meal Plan 1,0,Room_Type 4,147,Online,0,0,0,118.88,1,Cancelled
2018-05-30,INN00196,2,0,1,2,Meal Plan 1,0,Room_Type 1,92,Offline,0,0,0,101.52,0,Not Cancelled
2017-09-11,INN00197,2,0,0,1,Meal Plan 1,0,Room_Type 1,87,Corporate,0,0,0,100,0,Cancelled
2018-03-20,INN00198,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,Offline,0,0,0,58,0,Not Cancelled
2018-03-23,INN00199,2,0,0,4,Meal Plan 1,0,Room_Type 1,127,Offline,0,0,0,61.5,2,Not Cancelled
2018-09-26,INN00200,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Online,0,0,0,107,0,Cancelled
2018-08-24,INN00201,2,0,1,4,Not Selected,0,Room_Type 1,156,Online,0,0,0,87.3,1,Not Cancelled
2017-07-16,INN00202,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,76.5,1,Cancelled
2018-12-16,INN00203,2,0,2,2,Not Selected,0,Room_Type 1,211,Online,0,0,0,63.75,0,Cancelled
2018-05-13,INN00204,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Online,0,0,0,95,0,Cancelled
2018-11-19,INN00205,2,0,2,1,Meal Plan 1,0,Room_Type 1,58,Offline,0,0,0,75,1,Not Cancelled
2018-09-08,INN00206,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,Online,0,0,0,70,0,Cancelled
2018-05-02,INN00207,2,0,1,3,Meal Plan 1,0,Room_Type 1,111,Online,0,0,0,101.58,1,Not Cancelled
2018-08-21,INN00208,2,0,2,3,Meal Plan 1,0,Room_Type 1,34,Offline,0,0,0,85,0,Not Cancelled
2018-12-03,INN00209,2,0,2,4,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,98.39,0,Not Cancelled
2018-02-27,INN00210,1,0,0,0,Meal Plan 1,0,Room_Type 1,4,Complementary,0,0,0,0,1,Not Cancelled
2017-09-22,INN00211,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,106.07,1,Not Cancelled
2018-07-18,INN00212,2,0,1,1,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,105,1,Not Cancelled
2017-09-22,INN00213,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,145,2,Not Cancelled
2018-08-13,INN00214,3,0,2,1,Meal Plan 1,0,Room_Type 1,195,Online,0,0,0,106.03,1,Cancelled
2018-08-13,INN00215,2,0,2,2,Meal Plan 1,0,Room_Type 1,119,Online,0,0,0,114.3,1,Not Cancelled
2018-12-05,INN00216,1,0,1,1,Not Selected,0,Room_Type 1,13,Online,0,0,0,88,0,Not Cancelled
2017-10-15,INN00217,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,Online,0,0,0,89.25,2,Not Cancelled
2018-03-20,INN00218,2,1,2,5,Meal Plan 1,0,Room_Type 4,78,Online,0,0,0,86.32,1,Not Cancelled
2018-10-13,INN00219,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,0,0,0,90,1,Not Cancelled
2017-08-22,INN00220,2,0,2,5,Meal Plan 1,0,Room_Type 1,103,Online,0,0,0,55.96,0,Not Cancelled
2018-06-08,INN00221,1,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,109,1,Not Cancelled
